"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"190","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","96","Ruminococcaceae_unclassified","96"
"191","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Oxalobacteraceae","100","Oxalobacteraceae_unclassified","100"
"192","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"193","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"194","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","91","Firmicutes_unclassified","91","Firmicutes","91","Firmicutes_unclassified","91"
"195","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"197","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"198","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"200","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","90","Clostridiales_unclassified","90"
"201","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Holdemanella","100"
"203","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Phocea","100"
"204","Bacteria","100","Actinobacteria","100","Coriobacteriia","100","Eggerthellales","100","Eggerthellaceae","100","Raoultibacter","100"
"206","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes","100","Firmicutes_unclassified","100"
"207","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","55","Butyricicoccus","55"
"209","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Faecalibacillus","100"
"210","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","98"
"211","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"216","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"218","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lactonifactor","82"
"221","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"222","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Longicatena","100"
"223","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Turicibacter","100"
"224","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"227","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","94","Ruminococcaceae_unclassified","94"
"229","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"237","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"240","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"241","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Intestinimonas","81"
"243","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Cuneatibacter","100"
"251","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidales","100","Bacteroidales_unclassified","100"
"273","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"276","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Clostridium_IV","95"
